pedido_id,data,ano,mes,estado,regiao,cidade,canal,categoria,marca,produto,preco_unitario,quantidade,desconto,receita,custo,lucro,margem_pct,ano_mes,trimestre
P2305-00015,2023-05-31,2023,5,SP,Sudeste,São José dos Campos,Parceiros B2B,Gaming & Consoles,Blitz,Blitz Pad,685.95,1,0.0,685.95,428.99,256.96,37.46,2023-05,2023Q2
P2306-00016,2023-06-01,2023,6,RJ,Sudeste,Rio de Janeiro,Parceiros B2B,Acessórios,Pulse,Pulse ANC,339.45,1,0.072,315.11,185.71,129.39,41.06,2023-06,2023Q2
P2308-00017,2023-08-29,2023,8,SP,Sudeste,São José dos Campos,Marketplace,Notebooks,Nimbus,Nimbus Go,3687.67,1,0.041,3536.64,1986.23,1550.41,43.84,2023-08,2023Q3
P2401-00018,2024-01-24,2024,1,RJ,Sudeste,Rio de Janeiro,Parceiros B2B,TVs & Áudio,Vertex,Vertex OLED 55,3401.21,1,0.064,3185.01,2050.26,1134.75,35.63,2024-01,2024Q1
P2311-00019,2023-11-22,2023,11,PE,Nordeste,Recife,E-commerce,TVs & Áudio,Vertex,Vertex Beam,3525.84,1,0.113,3127.58,1818.57,1309.01,41.85,2023-11,2023Q4
P2308-00020,2023-08-20,2023,8,RJ,Sudeste,Volta Redonda,Marketplace,Acessórios,Photon,Photon Keyboard,262.94,2,0.172,435.57,186.46,249.11,57.19,2023-08,2023Q3
P2404-00021,2024-04-07,2024,4,PE,Nordeste,Olinda,E-commerce,Gaming & Consoles,Arcade,Arcade Elite,3002.17,2,0.076,5546.79,2865.78,2681.01,48.33,2024-04,2024Q2
P2304-00022,2023-04-29,2023,4,RJ,Sudeste,Volta Redonda,E-commerce,TVs & Áudio,Vertex,Vertex OLED 55,3789.5,1,0.105,3390.56,2094.51,1296.05,38.23,2023-04,2023Q2
P2308-00023,2023-08-20,2023,8,PE,Nordeste,Recife,E-commerce,Casa Inteligente,HomeX,HomeX Sensor Pack,498.54,4,0.08,1834.84,828.39,1006.44,54.85,2023-08,2023Q3
P2310-00024,2023-10-11,2023,10,PE,Nordeste,Jaboatão,E-commerce,Gaming & Consoles,Arcade,Arcade One,3863.38,1,0.053,3658.95,2270.24,1388.7,37.95,2023-10,2023Q4
P2312-00025,2023-12-06,2023,12,SC,Sul,Joinville,Marketplace,Casa Inteligente,HomeX,HomeX Sensor Pack,659.11,1,0.071,612.03,279.12,332.91,54.39,2023-12,2023Q4
P2408-00026,2024-08-15,2024,8,MG,Sudeste,Belo Horizonte,E-commerce,Notebooks,Nimbus,Nimbus Air,3935.23,1,0.069,3663.58,2217.25,1446.33,39.48,2024-08,2024Q3
P2306-00027,2023-06-13,2023,6,SP,Sudeste,São José dos Campos,Marketplace,Smartphones,Nova Mobile,Nova Air,2443.92,4,0.15,8308.26,5434.56,2873.7,34.59,2023-06,2023Q2
P2401-00028,2024-01-14,2024,1,BA,Nordeste,Vitória da Conquista,Parceiros B2B,Casa Inteligente,HomeX,HomeX Hub,569.47,1,0.043,544.87,269.76,275.12,50.49,2024-01,2024Q1
P2403-00029,2024-03-22,2024,3,MG,Sudeste,Juiz de Fora,Marketplace,Notebooks,Nimbus,Nimbus Air,2977.49,1,0.12,2620.36,1646.38,973.98,37.17,2024-03,2024Q1
P2302-00030,2023-02-12,2023,2,SC,Sul,Blumenau,Loja Física,Gaming & Consoles,Blitz,Blitz Headset,1046.59,1,0.065,978.83,556.51,422.32,43.15,2023-02,2023Q1
P2404-00031,2024-04-04,2024,4,RS,Sul,Porto Alegre,E-commerce,Casa Inteligente,Nexa,Nexa Lamp,362.69,1,0.055,342.62,181.12,161.5,47.14,2024-04,2024Q2
P2305-00032,2023-05-23,2023,5,SP,Sudeste,Campinas,E-commerce,Casa Inteligente,HomeX,HomeX Sensor Pack,582.88,1,0.121,512.59,244.34,268.25,52.33,2023-05,2023Q2
P2303-00033,2023-03-01,2023,3,SP,Sudeste,São Paulo,Loja Física,Smartphones,Nova Mobile,Nova One,2126.49,1,0.0,2126.49,1181.2,945.28,44.45,2023-03,2023Q1
P2412-00034,2024-12-02,2024,12,BA,Nordeste,Feira de Santana,E-commerce,TVs & Áudio,Vertex,Vertex Beam,3535.24,1,0.04,3395.11,1921.43,1473.67,43.41,2024-12,2024Q4
P2412-00035,2024-12-12,2024,12,SP,Sudeste,São José dos Campos,E-commerce,Casa Inteligente,Nexa,Nexa Lamp,445.47,1,0.096,402.78,220.65,182.12,45.22,2024-12,2024Q4
P2409-00036,2024-09-01,2024,9,BA,Nordeste,Feira de Santana,E-commerce,Smartphones,Orion,Orion Horizon,2330.87,1,0.104,2089.57,1118.13,971.44,46.49,2024-09,2024Q3
P2308-00037,2023-08-30,2023,8,MG,Sudeste,Belo Horizonte,Marketplace,Gaming & Consoles,Arcade,Arcade One,2905.84,1,0.096,2626.41,1527.78,1098.63,41.83,2023-08,2023Q3
P2303-00038,2023-03-27,2023,3,MG,Sudeste,Belo Horizonte,E-commerce,Smartphones,Nova Mobile,Nova One,2503.06,1,0.072,2323.3,1460.22,863.09,37.15,2023-03,2023Q1
P2406-00039,2024-06-02,2024,6,PR,Sul,Curitiba,E-commerce,TVs & Áudio,Vertex,Vertex OLED 65,3125.49,1,0.061,2933.5,1868.77,1064.73,36.3,2024-06,2024Q2
P2311-00040,2023-11-27,2023,11,PE,Nordeste,Olinda,E-commerce,Casa Inteligente,HomeX,HomeX Hub,558.0,1,0.059,525.04,265.78,259.26,49.38,2023-11,2023Q4
P2304-00041,2023-04-15,2023,4,DF,Centro-Oeste,Taguatinga,Loja Física,Smartphones,Nova Mobile,Nova One,2194.91,3,0.012,6506.26,4265.68,2240.58,34.44,2023-04,2023Q2
P2312-00042,2023-12-29,2023,12,MG,Sudeste,Uberlândia,E-commerce,Acessórios,Pulse,Pulse Buds,276.55,1,0.055,261.47,124.42,137.05,52.41,2023-12,2023Q4
P2302-00043,2023-02-01,2023,2,SP,Sudeste,São José dos Campos,E-commerce,Acessórios,Volt,Volt Power Hub,191.46,1,0.06,179.96,71.34,108.61,60.36,2023-02,2023Q1
P2411-00044,2024-11-07,2024,11,SP,Sudeste,Santos,E-commerce,Smartphones,Orion,Orion Pulse,3133.76,1,0.025,3055.07,1866.03,1189.04,38.92,2024-11,2024Q4
P2307-00045,2023-07-27,2023,7,SP,Sudeste,São Paulo,Marketplace,Casa Inteligente,HomeX,HomeX Hub,730.9,2,0.083,1340.93,651.4,689.53,51.42,2023-07,2023Q3
P2405-00046,2024-05-16,2024,5,BA,Nordeste,Feira de Santana,E-commerce,Smartphones,Orion,Orion Pulse,3053.14,1,0.053,2890.05,1628.17,1261.88,43.66,2024-05,2024Q2
P2309-00047,2023-09-04,2023,9,SP,Sudeste,São Paulo,Parceiros B2B,TVs & Áudio,Lumina,Lumina Soundbar,2602.5,1,0.105,2329.36,1514.93,814.43,34.96,2023-09,2023Q3
P2401-00048,2024-01-19,2024,1,MG,Sudeste,Belo Horizonte,Marketplace,Casa Inteligente,Nexa,Nexa Plug,408.5,1,0.113,362.24,164.7,197.54,54.53,2024-01,2024Q1
P2402-00049,2024-02-13,2024,2,RS,Sul,Pelotas,E-commerce,Notebooks,Nimbus,Nimbus Air,4236.85,1,0.1,3813.56,2301.97,1511.59,39.64,2024-02,2024Q1
P2306-00050,2023-06-02,2023,6,RS,Sul,Pelotas,Marketplace,Smartphones,Nova Mobile,Nova Max,2084.45,1,0.108,1859.32,1045.12,814.2,43.79,2023-06,2023Q2
P2412-00051,2024-12-14,2024,12,DF,Centro-Oeste,Ceilândia,Parceiros B2B,Smartphones,Orion,Orion Pulse,3212.36,1,0.0,3212.36,1991.4,1220.96,38.01,2024-12,2024Q4
P2408-00052,2024-08-07,2024,8,RJ,Sudeste,Niterói,Parceiros B2B,Smartphones,Nova Mobile,Nova Max,2348.46,2,0.062,4405.89,2498.57,1907.32,43.29,2024-08,2024Q3
P2411-00053,2024-11-26,2024,11,SP,Sudeste,São Paulo,Loja Física,Gaming & Consoles,Blitz,Blitz Chair,1037.01,1,0.065,969.87,590.08,379.79,39.16,2024-11,2024Q4
P2410-00054,2024-10-29,2024,10,RS,Sul,Caxias do Sul,Marketplace,Gaming & Consoles,Arcade,Arcade One,2932.73,1,0.073,2717.75,1769.88,947.87,34.88,2024-10,2024Q4
P2403-00055,2024-03-27,2024,3,SP,Sudeste,Santos,E-commerce,Casa Inteligente,HomeX,HomeX Cam,771.0,1,0.106,688.91,364.78,324.13,47.05,2024-03,2024Q1
P2411-00056,2024-11-15,2024,11,PR,Sul,Londrina,Loja Física,TVs & Áudio,Vertex,Vertex Beam,4697.45,1,0.0,4697.45,2804.23,1893.22,40.3,2024-11,2024Q4
P2303-00057,2023-03-20,2023,3,SP,Sudeste,São José dos Campos,Parceiros B2B,Smartphones,Nova Mobile,Nova Air,2203.91,1,0.028,2142.75,1338.74,804.01,37.52,2023-03,2023Q1
P2306-00058,2023-06-10,2023,6,BA,Nordeste,Feira de Santana,E-commerce,Notebooks,Helix,Helix Flex,3322.85,2,0.07,6181.7,3572.61,2609.09,42.21,2023-06,2023Q2
P2302-00059,2023-02-11,2023,2,SP,Sudeste,São Paulo,E-commerce,Gaming & Consoles,Blitz,Blitz Chair,902.12,3,0.056,2554.99,1424.52,1130.47,44.25,2023-02,2023Q1
P2309-00060,2023-09-13,2023,9,SP,Sudeste,Santos,Parceiros B2B,Gaming & Consoles,Arcade,Arcade One,3277.65,1,0.047,3122.4,1882.81,1239.59,39.7,2023-09,2023Q3
P2310-00061,2023-10-26,2023,10,PR,Sul,Londrina,E-commerce,TVs & Áudio,Lumina,Lumina Vision 65,2843.65,1,0.118,2509.06,1515.95,993.11,39.58,2023-10,2023Q4
P2308-00062,2023-08-05,2023,8,PE,Nordeste,Olinda,Loja Física,Smartphones,Apex,Apex S10,3305.1,1,0.021,3234.13,1988.33,1245.8,38.52,2023-08,2023Q3
P2409-00063,2024-09-15,2024,9,SP,Sudeste,Campinas,E-commerce,Casa Inteligente,Nexa,Nexa Thermo,393.96,1,0.049,374.54,142.32,232.21,62.0,2024-09,2024Q3
P2310-00064,2023-10-04,2023,10,GO,Centro-Oeste,Goiânia,E-commerce,TVs & Áudio,Lumina,Lumina Vision 65,2744.29,1,0.082,2517.96,1413.92,1104.04,43.85,2023-10,2023Q4
P2308-00065,2023-08-12,2023,8,SP,Sudeste,Santos,Parceiros B2B,Acessórios,Photon,Photon Mouse,202.62,2,0.005,403.02,213.93,189.09,46.92,2023-08,2023Q3
P2402-00066,2024-02-09,2024,2,SP,Sudeste,Campinas,Loja Física,Acessórios,Pulse,Pulse ANC,336.33,1,0.062,315.5,145.96,169.54,53.74,2024-02,2024Q1
P2304-00067,2023-04-30,2023,4,SP,Sudeste,Campinas,Parceiros B2B,Notebooks,Nimbus,Nimbus Air,3672.09,1,0.0,3672.09,2104.15,1567.95,42.7,2023-04,2023Q2
P2408-00068,2024-08-27,2024,8,SP,Sudeste,Santos,E-commerce,Notebooks,Nimbus,Nimbus Air,3855.44,2,0.077,7119.03,4524.89,2594.14,36.44,2024-08,2024Q3
P2303-00069,2023-03-08,2023,3,RJ,Sudeste,Rio de Janeiro,Marketplace,Gaming & Consoles,Blitz,Blitz Pad,974.01,2,0.152,1651.81,1075.19,576.61,34.91,2023-03,2023Q1
P2412-00070,2024-12-24,2024,12,PE,Nordeste,Recife,E-commerce,Casa Inteligente,Nexa,Nexa Lamp,402.94,1,0.079,370.97,198.6,172.37,46.46,2024-12,2024Q4
P2408-00071,2024-08-05,2024,8,PR,Sul,Maringá,E-commerce,Notebooks,Nimbus,Nimbus Go,4472.65,2,0.074,8281.59,4267.1,4014.49,48.47,2024-08,2024Q3
P2306-00072,2023-06-12,2023,6,SP,Sudeste,São José dos Campos,Parceiros B2B,TVs & Áudio,Vertex,Vertex OLED 55,3695.2,1,0.094,3346.78,1862.52,1484.26,44.35,2023-06,2023Q2
P2301-00073,2023-01-06,2023,1,SP,Sudeste,São José dos Campos,Parceiros B2B,Casa Inteligente,HomeX,HomeX Cam,662.38,1,0.065,619.54,274.11,345.43,55.76,2023-01,2023Q1
P2409-00074,2024-09-06,2024,9,SP,Sudeste,São Paulo,Marketplace,Notebooks,Nimbus,Nimbus Go,3360.16,1,0.101,3019.56,1788.34,1231.22,40.77,2024-09,2024Q3
P2406-00075,2024-06-18,2024,6,SC,Sul,Joinville,E-commerce,Notebooks,Nimbus,Nimbus Studio,3676.9,1,0.034,3553.0,2005.91,1547.1,43.54,2024-06,2024Q2
P2407-00076,2024-07-04,2024,7,RS,Sul,Caxias do Sul,Marketplace,TVs & Áudio,Vertex,Vertex Beam,4267.43,2,0.084,7821.36,4641.65,3179.7,40.65,2024-07,2024Q3
P2408-00077,2024-08-05,2024,8,RS,Sul,Pelotas,Parceiros B2B,Casa Inteligente,Nexa,Nexa Plug,409.12,1,0.0,409.12,215.08,194.05,47.43,2024-08,2024Q3
P2303-00078,2023-03-08,2023,3,BA,Nordeste,Vitória da Conquista,E-commerce,TVs & Áudio,Vertex,Vertex Beam,4269.87,1,0.065,3992.88,2194.52,1798.36,45.04,2023-03,2023Q1
P2310-00079,2023-10-05,2023,10,RS,Sul,Pelotas,Marketplace,Acessórios,Photon,Photon Mouse,197.04,1,0.162,165.07,86.6,78.47,47.54,2023-10,2023Q4
P2304-00080,2023-04-11,2023,4,MG,Sudeste,Uberlândia,Parceiros B2B,Gaming & Consoles,Arcade,Arcade One,2817.89,2,0.028,5476.79,2710.55,2766.23,50.51,2023-04,2023Q2
P2410-00081,2024-10-08,2024,10,MG,Sudeste,Juiz de Fora,Marketplace,Notebooks,Helix,Helix Pro 14,3791.9,1,0.116,3353.43,2098.91,1254.51,37.41,2024-10,2024Q4
P2404-00082,2024-04-16,2024,4,RJ,Sudeste,Rio de Janeiro,Loja Física,TVs & Áudio,Lumina,Lumina Vision 50,2597.88,1,0.013,2563.55,1768.42,795.13,31.02,2024-04,2024Q2
P2309-00083,2023-09-17,2023,9,DF,Centro-Oeste,Ceilândia,Marketplace,Smartphones,Apex,Apex S10 Pro,3385.5,1,0.11,3013.27,1411.67,1601.6,53.15,2023-09,2023Q3
P2302-00084,2023-02-27,2023,2,PR,Sul,Curitiba,Loja Física,Acessórios,Volt,Volt Power Hub,220.63,1,0.0,220.63,112.44,108.19,49.04,2023-02,2023Q1
P2309-00085,2023-09-03,2023,9,SP,Sudeste,Campinas,Loja Física,Smartphones,Apex,Apex S10,3235.93,1,0.049,3077.93,1617.42,1460.51,47.45,2023-09,2023Q3
P2309-00086,2023-09-13,2023,9,BA,Nordeste,Salvador,Loja Física,Acessórios,Pulse,Pulse Fit,314.54,1,0.061,295.29,169.13,126.15,42.72,2023-09,2023Q3
P2407-00087,2024-07-04,2024,7,GO,Centro-Oeste,Aparecida de Goiânia,E-commerce,TVs & Áudio,Vertex,Vertex Beam,3344.68,1,0.093,3032.95,1634.08,1398.87,46.12,2024-07,2024Q3
P2404-00088,2024-04-27,2024,4,DF,Centro-Oeste,Ceilândia,Marketplace,Acessórios,Photon,Photon Keyboard,227.59,1,0.098,205.24,94.8,110.45,53.81,2024-04,2024Q2
P2410-00089,2024-10-24,2024,10,MG,Sudeste,Belo Horizonte,E-commerce,Acessórios,Volt,Volt Power Hub,163.58,1,0.068,152.42,71.09,81.33,53.36,2024-10,2024Q4
P2312-00090,2023-12-16,2023,12,BA,Nordeste,Salvador,E-commerce,Casa Inteligente,Nexa,Nexa Thermo,426.81,2,0.068,795.49,396.1,399.4,50.21,2023-12,2023Q4
P2304-00091,2023-04-13,2023,4,RJ,Sudeste,Niterói,E-commerce,Notebooks,Helix,Helix Pro 16,3646.08,1,0.134,3157.87,1925.84,1232.03,39.01,2023-04,2023Q2
P2406-00092,2024-06-23,2024,6,RJ,Sudeste,Niterói,Marketplace,TVs & Áudio,Lumina,Lumina Vision 50,2072.7,1,0.127,1810.32,965.21,845.11,46.68,2024-06,2024Q2
P2407-00093,2024-07-28,2024,7,RS,Sul,Caxias do Sul,Loja Física,Smartphones,Apex,Apex S10 Pro,3511.52,1,0.056,3314.8,2031.8,1283.0,38.71,2024-07,2024Q3
P2402-00094,2024-02-26,2024,2,PR,Sul,Maringá,E-commerce,TVs & Áudio,Vertex,Vertex OLED 65,4068.65,1,0.064,3809.69,2555.68,1254.01,32.92,2024-02,2024Q1
P2408-00095,2024-08-04,2024,8,GO,Centro-Oeste,Goiânia,E-commerce,Casa Inteligente,Nexa,Nexa Plug,356.03,3,0.126,933.41,477.5,455.91,48.84,2024-08,2024Q3
P2312-00096,2023-12-28,2023,12,GO,Centro-Oeste,Aparecida de Goiânia,E-commerce,Acessórios,Volt,Volt Cable Kit,178.16,2,0.105,318.91,149.41,169.51,53.15,2023-12,2023Q4
P2401-00097,2024-01-22,2024,1,SC,Sul,Joinville,Loja Física,TVs & Áudio,Vertex,Vertex OLED 55,3973.36,1,0.0,3973.36,2215.7,1757.66,44.24,2024-01,2024Q1
P2311-00098,2023-11-19,2023,11,MG,Sudeste,Belo Horizonte,E-commerce,Notebooks,Nimbus,Nimbus Go,3011.53,1,0.092,2735.76,1682.85,1052.9,38.49,2023-11,2023Q4
P2301-00099,2023-01-24,2023,1,BA,Nordeste,Vitória da Conquista,Parceiros B2B,Casa Inteligente,HomeX,HomeX Cam,668.79,1,0.01,662.08,335.8,326.28,49.28,2023-01,2023Q1
P2304-00100,2023-04-04,2023,4,PR,Sul,Londrina,E-commerce,Gaming & Consoles,Blitz,Blitz Pad,890.85,3,0.108,2383.7,1475.15,908.55,38.12,2023-04,2023Q2
P2301-00101,2023-01-29,2023,1,SP,Sudeste,Santos,E-commerce,Notebooks,Helix,Helix Pro 16,4215.36,1,0.053,3991.6,2410.29,1581.31,39.62,2023-01,2023Q1
P2404-00102,2024-04-26,2024,4,RJ,Sudeste,Rio de Janeiro,Parceiros B2B,Notebooks,Nimbus,Nimbus Studio,3576.63,1,0.051,3392.6,1959.03,1433.56,42.26,2024-04,2024Q2
P2309-00103,2023-09-05,2023,9,MG,Sudeste,Juiz de Fora,Loja Física,Smartphones,Apex,Apex S10,3106.0,1,0.054,2937.35,1596.51,1340.83,45.65,2023-09,2023Q3
P2401-00104,2024-01-09,2024,1,SP,Sudeste,Campinas,Parceiros B2B,Smartphones,Nova Mobile,Nova One,1809.6,1,0.044,1729.62,942.39,787.23,45.51,2024-01,2024Q1
P2411-00105,2024-11-06,2024,11,BA,Nordeste,Vitória da Conquista,Marketplace,TVs & Áudio,Lumina,Lumina Vision 65,2331.51,1,0.124,2042.42,1318.6,723.83,35.44,2024-11,2024Q4
P2307-00106,2023-07-20,2023,7,SP,Sudeste,Santos,Parceiros B2B,Acessórios,Photon,Photon Keyboard,278.08,1,0.0,278.08,127.59,150.5,54.12,2023-07,2023Q3
P2311-00107,2023-11-08,2023,11,SP,Sudeste,Santos,Marketplace,Gaming & Consoles,Arcade,Arcade One,3657.38,1,0.106,3271.18,1707.62,1563.56,47.8,2023-11,2023Q4
P2407-00108,2024-07-24,2024,7,SP,Sudeste,Campinas,E-commerce,Notebooks,Nimbus,Nimbus Studio,3683.51,1,0.068,3434.52,1997.58,1436.93,41.84,2024-07,2024Q3
P2307-00109,2023-07-04,2023,7,SP,Sudeste,Santos,Loja Física,Gaming & Consoles,Arcade,Arcade One,3761.51,1,0.041,3606.21,2223.28,1382.93,38.35,2023-07,2023Q3
P2303-00110,2023-03-10,2023,3,BA,Nordeste,Feira de Santana,Marketplace,Smartphones,Orion,Orion Pulse,2880.98,1,0.153,2440.1,1450.0,990.1,40.58,2023-03,2023Q1
P2308-00111,2023-08-19,2023,8,PR,Sul,Curitiba,Marketplace,Smartphones,Orion,Orion Horizon,2140.33,1,0.124,1875.31,1080.6,794.71,42.38,2023-08,2023Q3
P2305-00112,2023-05-16,2023,5,BA,Nordeste,Vitória da Conquista,Loja Física,Smartphones,Apex,Apex S10 Pro,3472.35,2,0.102,6233.99,3883.72,2350.27,37.7,2023-05,2023Q2
P2411-00113,2024-11-20,2024,11,PE,Nordeste,Olinda,Marketplace,TVs & Áudio,Vertex,Vertex OLED 55,3845.49,1,0.143,3297.16,2145.19,1151.96,34.94,2024-11,2024Q4
P2409-00114,2024-09-01,2024,9,PR,Sul,Londrina,Marketplace,Casa Inteligente,Nexa,Nexa Plug,423.2,1,0.086,386.9,189.13,197.77,51.12,2024-09,2024Q3
P2404-00115,2024-04-24,2024,4,BA,Nordeste,Feira de Santana,Marketplace,Notebooks,Helix,Helix Pro 14,3673.4,1,0.164,3072.74,1709.98,1362.76,44.35,2024-04,2024Q2
P2410-00116,2024-10-14,2024,10,PE,Nordeste,Jaboatão,E-commerce,Acessórios,Photon,Photon Keyboard,255.85,1,0.098,230.66,121.21,109.45,47.45,2024-10,2024Q4
P2408-00117,2024-08-28,2024,8,SP,Sudeste,Santos,Loja Física,TVs & Áudio,Vertex,Vertex OLED 55,3950.66,1,0.06,3713.79,2307.09,1406.7,37.88,2024-08,2024Q3
P2306-00118,2023-06-04,2023,6,BA,Nordeste,Salvador,E-commerce,Casa Inteligente,Nexa,Nexa Thermo,424.17,2,0.029,824.0,395.81,428.2,51.97,2023-06,2023Q2
P2410-00119,2024-10-28,2024,10,MG,Sudeste,Juiz de Fora,E-commerce,TVs & Áudio,Vertex,Vertex OLED 65,2922.63,1,0.035,2819.68,1728.41,1091.26,38.7,2024-10,2024Q4
P2402-00120,2024-02-06,2024,2,SC,Sul,Florianópolis,Loja Física,Gaming & Consoles,Blitz,Blitz Headset,854.34,1,0.021,836.09,506.59,329.49,39.41,2024-02,2024Q1
P2408-00121,2024-08-31,2024,8,SP,Sudeste,Santos,E-commerce,Gaming & Consoles,Arcade,Arcade Elite,3005.62,1,0.075,2781.36,1670.58,1110.78,39.94,2024-08,2024Q3
P2410-00122,2024-10-30,2024,10,MG,Sudeste,Uberlândia,Marketplace,Acessórios,Photon,Photon Keyboard,258.63,1,0.052,245.25,93.38,151.87,61.92,2024-10,2024Q4
P2309-00123,2023-09-08,2023,9,RS,Sul,Pelotas,E-commerce,Notebooks,Helix,Helix Pro 14,4374.44,1,0.095,3959.92,2476.58,1483.34,37.46,2023-09,2023Q3
P2304-00124,2023-04-06,2023,4,SP,Sudeste,Campinas,E-commerce,Casa Inteligente,HomeX,HomeX Hub,684.82,1,0.105,613.2,300.6,312.59,50.98,2023-04,2023Q2
P2307-00125,2023-07-04,2023,7,SC,Sul,Florianópolis,E-commerce,Casa Inteligente,Nexa,Nexa Lamp,434.98,1,0.13,378.43,194.7,183.72,48.55,2023-07,2023Q3
P2311-00126,2023-11-19,2023,11,RJ,Sudeste,Volta Redonda,E-commerce,Notebooks,Helix,Helix Flex,3114.75,1,0.13,2711.34,1487.27,1224.06,45.15,2023-11,2023Q4
P2409-00127,2024-09-08,2024,9,SP,Sudeste,Campinas,E-commerce,Smartphones,Orion,Orion Horizon,2789.23,1,0.081,2563.29,1701.74,861.55,33.61,2024-09,2024Q3
P2410-00128,2024-10-07,2024,10,RS,Sul,Caxias do Sul,Loja Física,Smartphones,Nova Mobile,Nova Air,2072.79,1,0.076,1914.92,1141.68,773.24,40.38,2024-10,2024Q4
P2301-00129,2023-01-07,2023,1,MG,Sudeste,Uberlândia,E-commerce,TVs & Áudio,Lumina,Lumina Vision 65,2637.34,5,0.075,12196.71,6921.82,5274.89,43.25,2023-01,2023Q1
P2401-00130,2024-01-11,2024,1,SP,Sudeste,São Paulo,E-commerce,Acessórios,Pulse,Pulse Fit,305.85,3,0.116,811.07,405.89,405.18,49.96,2024-01,2024Q1
P2311-00131,2023-11-13,2023,11,SP,Sudeste,São Paulo,Loja Física,Notebooks,Helix,Helix Pro 14,4229.16,1,0.042,4051.4,2264.29,1787.12,44.11,2023-11,2023Q4
P2306-00132,2023-06-29,2023,6,PR,Sul,Londrina,E-commerce,Casa Inteligente,HomeX,HomeX Sensor Pack,705.11,1,0.047,671.94,359.07,312.88,46.56,2023-06,2023Q2
P2304-00133,2023-04-14,2023,4,MG,Sudeste,Juiz de Fora,E-commerce,Casa Inteligente,Nexa,Nexa Plug,415.54,1,0.066,387.95,204.4,183.55,47.31,2023-04,2023Q2
P2309-00134,2023-09-21,2023,9,RS,Sul,Pelotas,Marketplace,Gaming & Consoles,Arcade,Arcade One,3412.35,1,0.156,2879.43,1896.45,982.98,34.14,2023-09,2023Q3
P2411-00135,2024-11-28,2024,11,SP,Sudeste,São Paulo,Marketplace,TVs & Áudio,Lumina,Lumina Vision 50,2318.75,1,0.147,1978.07,1173.25,804.83,40.69,2024-11,2024Q4
P2309-00136,2023-09-11,2023,9,SP,Sudeste,São Paulo,E-commerce,Gaming & Consoles,Blitz,Blitz Headset,715.93,1,0.054,677.21,388.5,288.71,42.63,2023-09,2023Q3
